W,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,m%,price,%,txn,gf,120818
,W,Willian,CHE,M,0.23,0.21,3.7,3.5,2.0,68,7.3,5.2,-924,0,
,S,March,BHA,M,0.25,0.27,3.3,3.4,4.0,82,5.1,1.5,-988,-1,
,J,Jonny,WOL,D,0.42,0.51,3.8,4.2,0.4,70,4.3,1.5,-1087,-1,
,R,Patrício,WOL,G,0.33,0.33,3.5,3.5,1.4,94,4.6,9.2,-1088,0,
,N,Aké,BOU,D,0.16,0.16,2.8,2.8,0.6,100,5.0,4.7,-1174,0,
,J,Pickford,EVE,G,0.48,0.48,4.4,4.4,3.6,94,5.0,15.8,-1280,0,
,E,Capoue,WAT,M,0.22,0.22,3.1,3.1,0.2,81,5.0,0.8,-1304,-3,
o,R,Sterling,MCI,M,0.53,0.58,8.2,8.7,5.8,77,11.6,21.6,-1430,0,
,X,Shaqiri,LIV,M,0.31,0.43,4.2,5.0,4.8,42,7.0,3.4,-1439,-1,
,A,Schürrle,FUL,M,0.28,0.31,3.6,3.8,2.2,76,5.8,4.2,-1460,-1,
,J,Gudmundsson,BUR,M,0.37,0.42,4.2,4.5,2.0,79,5.9,2.7,-1495,-1,
,D,Brooks,BOU,M,0.25,0.29,3.3,3.5,2.4,71,5.2,3.1,-1554,-1,
,P,van Aanholt,CRY,D,0.28,0.31,3.5,3.7,3.4,98,5.4,3.9,-1723,-1,
,P,Billing,HUD,M,0.09,0.09,2.4,2.4,1.6,90,4.5,2.0,-1810,-2,
,T,Walcott,EVE,M,0.27,0.33,3.7,4.1,2.6,79,6.3,4.3,-1868,-1,
m,E,Ederson,MCI,G,0.45,0.48,4.6,4.8,2.8,100,5.8,26.1,-1916,0,
,W,Zaha,CRY,F,0.21,0.21,3.4,3.4,1.8,88,6.7,13.9,-2017,0,
,D,De Gea,MUN,G,0.16,0.16,2.9,2.9,2.8,100,5.7,15.3,-2046,0,
,S,Mustafi,ARS,D,0.17,0.17,2.9,2.9,3.2,97,5.4,1.8,-2093,-2,
,M,Ryan,BHA,G,0.35,0.35,3.6,3.6,2.4,100,4.6,5.8,-2243,-1,
,J,Jorginho,CHE,M,0.14,0.16,2.7,2.8,1.6,90,4.9,7.8,-2515,-1,
,S,Steve Cook,BOU,D,0.2,0.2,2.9,2.9,0.6,100,4.6,8.1,-2520,-1,
,L,Shaw,MUN,D,0.12,0.12,2.6,2.6,0.2,74,5.0,5.2,-2629,-1,
,M,Alonso,CHE,D,0.59,0.59,6.2,6.2,4.2,99,7.1,46.0,-3170,0,
,R,Neves,WOL,M,0.2,0.2,3.0,3.0,0.8,88,5.0,13.8,-3256,0,
,A,Lacazette,ARS,F,0.29,0.42,4.8,6.0,2.8,70,9.6,10.9,-4290,-1,
o,R,Richarlison,EVE,M,0.52,0.61,5.7,6.3,3.6,77,7.1,33.1,-4584,0,
,G,Sigurdsson,EVE,M,0.41,0.45,5.1,5.4,3.6,87,7.5,8.9,-5145,-1,
,R,Pereyra,WAT,M,0.37,0.4,4.3,4.5,1.4,88,6.3,14.8,-5206,-1,
,P,Pogba,MUN,M,0.2,0.23,3.6,3.8,1.0,79,7.9,10.2,-5538,-1,
,G,Murray,BHA,F,0.34,0.48,4.3,5.2,3.8,74,6.7,4.9,-5553,-2,
,J,Gomez,LIV,D,0.39,0.49,4.0,4.5,2.2,73,5.1,2.4,-6095,-4,
,S,Duffy,BHA,D,0.36,0.45,3.7,4.1,2.0,89,4.7,5.7,-6525,-2,
o,T,Alexander-Arnold,LIV,D,0.67,0.67,5.6,5.6,6.6,79,5.4,30.2,-11288,-1,
,D,David Silva,MCI,M,0.36,0.44,5.1,5.8,4.8,75,8.7,11.1,-11436,-2,
,K,Trippier,TOT,D,0.56,0.62,5.4,5.8,1.4,69,6.1,18.6,-14876,-1,
m,S,Mané,LIV,M,0.39,0.43,5.8,6.2,3.2,82,9.7,22.9,-20517,-2,
o,C,Wilson,BOU,F,0.59,0.59,6.1,6.1,4.4,92,7.0,40.3,-21713,-1,
,M,Arnautovic,WHU,F,0.36,0.41,4.5,4.9,1.8,70,7.0,10.8,-28365,-4,
,S,Agüero,MCI,F,0.38,0.37,6.3,6.2,1.8,66,11.3,25.9,-36716,-2,
