W,I,web_name        ,team,T,px  ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn   ,gf ,030620
 ,S,March           ,BHA ,M,4.9 ,82 ,0.18 ,0.2  ,2.9,3.0 ,1.0 ,0.9 ,-2032 ,-4 ,      
o,J,Bednarek        ,SOU ,D,4.0 ,53 ,0.0  ,0.03 ,2.0,2.1 ,2.3 ,7.0 ,-2181 ,0  ,      
 ,C,Wilson          ,BOU ,F,6.3 ,68 ,0.54 ,0.57 ,5.4,5.6 ,0.0 ,10.1,-2292 ,0  ,      
 ,D,Yedlin          ,NEW ,D,4.5 ,84 ,0.04 ,0.04 ,2.2,2.2 ,1.8 ,1.2 ,-2386 ,-3 ,      
 ,J,Hart            ,BUR ,G,4.2 ,68 ,0.38 ,0.38 ,3.6,3.6 ,0.0 ,5.0 ,-2408 ,-1 ,      
m,V,Guaita          ,CRY ,G,4.2 ,37 ,0.4  ,0.48 ,3.7,4.0 ,1.8 ,1.7 ,-2858 ,-3 ,      
 ,N,Redmond         ,SOU ,M,5.3 ,100,0.23 ,0.25 ,3.2,3.3 ,2.8 ,2.3 ,-2958 ,-2 ,      
 ,V,Camarasa        ,CAR ,M,4.6 ,79 ,0.24 ,0.24 ,3.1,3.1 ,1.5 ,2.1 ,-2968 ,-2 ,      
 ,A,McCarthy        ,SOU ,G,4.4 ,89 ,0.2  ,0.2  ,2.9,2.9 ,0.3 ,2.5 ,-2969 ,-2 ,      
 ,J,Tarkowski       ,BUR ,D,4.7 ,90 ,0.17 ,0.19 ,2.8,2.9 ,1.5 ,4.4 ,-3404 ,-1 ,      
 ,B,Foster          ,WAT ,G,4.6 ,104,0.37 ,0.37 ,3.7,3.7 ,4.0 ,6.4 ,-3901 ,-1 ,      
m,D,David Luiz      ,CHE ,D,5.9 ,93 ,0.46 ,0.46 ,4.7,4.7 ,1.3 ,12.7,-4256 ,-1 ,      
 ,A,Townsend        ,CRY ,M,5.9 ,98 ,0.24 ,0.25 ,3.4,3.5 ,1.8 ,4.0 ,-4664 ,-2 ,      
 ,C,Cathcart        ,WAT ,D,4.6 ,100,0.22 ,0.22 ,3.0,3.0 ,2.3 ,2.3 ,-5285 ,-4 ,      
 ,C,Eriksen         ,TOT ,M,9.3 ,78 ,0.25 ,0.31 ,4.3,4.9 ,4.8 ,5.8 ,-5425 ,-1 ,      
