O,I,web_name      ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn    ,gf ,020214
 ,S,Duffy         ,BHA ,D,0.2  ,0.2  ,2.9,2.9 ,1.0 ,2142,4.6  ,3.9 ,-2320  ,-1 ,      
 ,D,Tadic         ,SOU ,M,0.19 ,0.21 ,3.2,3.3 ,2.3 ,1747,6.2  ,1.7 ,-2322  ,-2 ,      
 ,A,Iwobi         ,ARS ,M,0.25 ,0.33 ,3.3,3.7 ,3.5 ,995 ,5.1  ,0.8 ,-2364  ,-5 ,      
 ,S,Davis         ,SOU ,M,0.27 ,0.38 ,3.3,3.8 ,2.7 ,1473,4.8  ,2.1 ,-2455  ,-2 ,      
 ,J,Cork          ,BUR ,M,0.13 ,0.13 ,2.6,2.6 ,2.0 ,2250,4.6  ,3.1 ,-2498  ,-1 ,      
 ,O,Niasse        ,EVE ,F,0.48 ,0.62 ,4.3,5.0 ,3.0 ,675 ,4.8  ,5.4 ,-2560  ,-1 ,      
 ,C,Atsu          ,NEW ,M,0.27 ,0.35 ,3.3,3.7 ,2.3 ,1560,4.8  ,1.9 ,-2611  ,-2 ,      
 ,T,Bakayoko      ,CHE ,M,0.2  ,0.32 ,3.0,3.6 ,2.5 ,1730,5.0  ,2.1 ,-2875  ,-2 ,      
 ,M,Ritchie       ,NEW ,M,0.22 ,0.26 ,3.2,3.4 ,1.0 ,1841,5.4  ,1.7 ,-2884  ,-3 ,      
 ,J,Joselu        ,NEW ,F,0.15 ,0.15 ,2.8,2.8 ,3.0 ,1549,5.5  ,0.7 ,-2914  ,-7 ,      
 ,S,Mané          ,LIV ,M,0.32 ,0.4  ,5.0,5.7 ,5.0 ,1256,9.3  ,7.5 ,-3081  ,-1 ,      
 ,C,Kabasele      ,WAT ,D,0.09 ,0.11 ,2.4,2.5 ,2.3 ,2039,4.6  ,1.4 ,-3103  ,-4 ,      
 ,W,Morgan        ,LEI ,D,0.0  ,0.02 ,2.0,2.1 ,0.0 ,1917,4.4  ,1.8 ,-3176  ,-3 ,      
 ,B,Sako          ,CRY ,M,0.06 ,0.47 ,2.3,4.3 ,4.0 ,466 ,4.9  ,0.2 ,-3305  ,-29,      
 ,T,Courtois      ,CHE ,G,0.4  ,0.4  ,4.2,4.2 ,2.0 ,2160,5.5  ,11.9,-3372  ,0  ,      
 ,A,Williams      ,EVE ,D,0.15 ,0.23 ,2.8,3.2 ,1.0 ,1520,5.2  ,2.6 ,-3391  ,-2 ,      
 ,G,Xhaka         ,ARS ,M,0.19 ,0.19 ,3.0,3.0 ,2.5 ,2170,5.2  ,7.4 ,-3626  ,-1 ,      
 ,B,Bruno         ,BHA ,D,0.29 ,0.36 ,3.3,3.6 ,0.3 ,1635,4.5  ,1.5 ,-3683  ,-4 ,      
 ,N,Matic         ,MUN ,M,0.1  ,0.1  ,2.5,2.5 ,2.3 ,2213,4.8  ,8.3 ,-3847  ,-1 ,      
 ,J,Vertonghen    ,TOT ,D,0.27 ,0.27 ,3.6,3.6 ,4.3 ,2219,6.0  ,8.7 ,-3923  ,-1 ,      
 ,A,Pérez         ,NEW ,F,0.08 ,0.21 ,2.4,3.1 ,2.7 ,1436,5.2  ,1.2 ,-4006  ,-6 ,      
 ,S,Aurier        ,TOT ,D,0.34 ,0.39 ,4.0,4.3 ,3.5 ,977 ,5.9  ,0.6 ,-4095  ,-12,      
 ,A,Cresswell     ,WHU ,D,0.24 ,0.25 ,3.2,3.3 ,1.3 ,1929,5.1  ,3.6 ,-4105  ,-2 ,      
 ,N,Kanté         ,CHE ,M,0.22 ,0.22 ,3.1,3.1 ,2.3 ,1914,4.9  ,11.7,-4118  ,-1 ,      
 ,V,Moses         ,CHE ,D,0.41 ,0.53 ,4.6,5.4 ,6.0 ,1242,6.4  ,1.8 ,-4614  ,-4 ,      
 ,J,Evans         ,WBA ,D,0.2  ,0.22 ,3.0,3.1 ,5.7 ,1813,4.9  ,1.5 ,-5172  ,-6 ,      
 ,P,Groß          ,BHA ,M,0.4  ,0.45 ,4.3,4.6 ,2.0 ,1899,5.8  ,14.8,-5378  ,-1 ,      
 ,A,Doucouré      ,WAT ,M,0.4  ,0.4  ,4.1,4.1 ,4.3 ,2160,5.3  ,13.3,-5397  ,-1 ,      
 ,M,Yoshida       ,SOU ,D,0.36 ,0.38 ,3.7,3.8 ,0.0 ,1534,4.7  ,2.8 ,-5730  ,-4 ,      
 ,A,Rüdiger       ,CHE ,D,0.49 ,0.53 ,4.9,5.1 ,3.3 ,1526,5.9  ,4.1 ,-5945  ,-3 ,      
 ,H,Gomes         ,WAT ,G,0.16 ,0.16 ,2.7,2.7 ,0.3 ,2038,4.5  ,1.7 ,-5989  ,-6 ,      
 ,P,Cech          ,ARS ,G,0.28 ,0.28 ,3.5,3.5 ,2.0 ,2250,5.4  ,4.9 ,-6171  ,-2 ,      
 ,C,Schindler     ,HUD ,D,0.17 ,0.17 ,2.8,2.8 ,0.7 ,2126,4.6  ,3.3 ,-6206  ,-3 ,      
 ,F,Forster       ,SOU ,G,0.34 ,0.34 ,3.6,3.6 ,0.0 ,1800,4.7  ,4.6 ,-6408  ,-2 ,      
 ,J,Pickford      ,EVE ,G,0.37 ,0.37 ,3.8,3.8 ,2.3 ,2250,4.9  ,8.2 ,-6627  ,-1 ,      
 ,R,Lukaku        ,MUN ,F,0.23 ,0.25 ,4.6,4.8 ,4.0 ,2083,11.3 ,21.0,-6784  ,-1 ,      
 ,A,Mooy          ,HUD ,M,0.26 ,0.28 ,3.4,3.5 ,3.0 ,2146,5.4  ,6.1 ,-8360  ,-2 ,      
 ,B,Alli          ,TOT ,M,0.31 ,0.34 ,4.8,5.0 ,3.8 ,2011,8.9  ,12.7,-8585  ,-1 ,      
 ,A,Surman        ,BOU ,M,0.41 ,0.41 ,3.9,3.9 ,0.0 ,1530,4.6  ,4.4 ,-8701  ,-3 ,      
x,A,Ogbonna       ,WHU ,D,0.07 ,0.04 ,2.3,2.2 ,1.8 ,1800,4.5  ,5.8 ,-9060  ,-3 ,      
 ,J,Lössl         ,HUD ,G,0.33 ,0.33 ,3.5,3.5 ,1.3 ,2250,4.6  ,7.2 ,-9301  ,-2 ,      
