W,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,m% ,price,%   ,txn    ,gf ,120410
 ,N,Kanté           ,CHE ,M,0.22 ,0.16 ,3.1,2.8 ,3.0 ,100,4.9  ,16.3,15044  ,2  ,      
 ,A,Gunnarsson      ,CAR ,M,0.27 ,0.27 ,3.2,3.2 ,4.7 ,40 ,4.4  ,0.7 ,14840  ,36 ,      
 ,J,Pickford        ,EVE ,G,0.5  ,0.54 ,4.5,4.7 ,5.0 ,100,5.0  ,15.7,12602  ,1  ,      
o,M,Doherty         ,WOL ,D,0.49 ,0.49 ,4.4,4.4 ,3.0 ,97 ,4.9  ,17.6,12559  ,1  ,      
 ,E,Dier            ,TOT ,M,0.25 ,0.17 ,3.2,2.8 ,3.0 ,74 ,4.8  ,1.7 ,8675   ,9  ,      
m,C,Schindler       ,HUD ,D,0.3  ,0.35 ,3.3,3.5 ,5.5 ,98 ,4.3  ,2.9 ,8593   ,5  ,      
 ,J,Foyth           ,TOT ,D,0.46 ,0.74 ,4.3,5.7 ,5.7 ,29 ,5.0  ,0.7 ,8129   ,20 ,      
 ,F,Balbuena        ,WHU ,D,0.14 ,0.09 ,2.6,2.4 ,2.7 ,100,4.4  ,1.1 ,7833   ,12 ,      
m,S,Kolasinac       ,ARS ,D,0.41 ,0.61 ,4.0,5.0 ,4.7 ,27 ,4.9  ,0.6 ,7441   ,21 ,      
 ,P,Zabaleta        ,WHU ,D,0.14 ,0.09 ,2.6,2.4 ,2.3 ,77 ,4.3  ,2.7 ,6868   ,4  ,      
 ,B,Chilwell        ,LEI ,D,0.33 ,0.29 ,3.7,3.5 ,4.7 ,100,5.2  ,3.6 ,6746   ,3  ,      
 ,Y,Mina            ,EVE ,D,0.37 ,0.83 ,4.0,6.5 ,5.0 ,22 ,5.4  ,0.8 ,6558   ,14 ,      
 ,S,Coleman         ,EVE ,D,0.31 ,0.35 ,3.6,3.8 ,4.7 ,71 ,5.2  ,1.6 ,6250   ,7  ,      
 ,P,van Aanholt     ,CRY ,D,0.35 ,0.3  ,3.9,3.6 ,4.0 ,100,5.4  ,4.0 ,5876   ,2  ,      
 ,A,Rüdiger         ,CHE ,D,0.43 ,0.42 ,4.6,4.5 ,3.5 ,98 ,6.0  ,5.3 ,5476   ,2  ,      
 ,T,Alderweireld    ,TOT ,D,0.25 ,0.25 ,3.5,3.5 ,3.0 ,85 ,5.9  ,3.0 ,5210   ,3  ,      
 ,D,David Luiz      ,CHE ,D,0.37 ,0.36 ,4.1,4.0 ,4.5 ,100,5.6  ,6.2 ,4570   ,1  ,      
 ,I,Diop            ,WHU ,D,0.02 ,-0.07,2.1,1.7 ,2.7 ,86 ,4.3  ,0.7 ,4448   ,11 ,      
 ,K,Kepa            ,CHE ,G,0.45 ,0.4  ,4.5,4.2 ,5.0 ,100,5.5  ,5.6 ,4060   ,1  ,      
m,A,Ramsey          ,ARS ,M,0.18 ,0.18 ,3.3,3.3 ,4.0 ,48 ,7.3  ,1.2 ,3751   ,5  ,      
 ,P,Billing         ,HUD ,M,0.11 ,0.11 ,2.5,2.5 ,2.5 ,97 ,4.5  ,2.3 ,3471   ,3  ,      
 ,N,Mendy           ,LEI ,M,0.13 ,0.11 ,2.6,2.5 ,2.7 ,86 ,4.5  ,1.2 ,3419   ,5  ,      
 ,A,Mooy            ,HUD ,M,0.24 ,0.24 ,3.2,3.2 ,5.8 ,91 ,5.1  ,2.1 ,3327   ,3  ,      
m,H,Lloris          ,TOT ,G,0.44 ,0.54 ,4.4,4.9 ,3.7 ,71 ,5.4  ,4.2 ,3026   ,1  ,      
 ,S,Francis         ,BOU ,D,0.11 ,0.23 ,2.5,3.0 ,2.0 ,72 ,4.4  ,0.5 ,2951   ,10 ,      
 ,C,Cédric          ,SOU ,D,0.25 ,0.18 ,3.1,2.8 ,4.0 ,97 ,4.4  ,4.5 ,2767   ,1  ,      
~,~,~~~~~~~~        ,~~~~,~,~~~~ ,~~~~~,~~~,~~~~,~~~~,~~ ,~~~~~,~   ,2765.04,~~ ,~~~~~~
 ,J,Gomez           ,LIV ,D,0.45 ,0.49 ,4.3,4.5 ,3.3 ,81 ,5.1  ,3.9 ,2460   ,1  ,      
 ,D,Rice            ,WHU ,D,0.05 ,0.0  ,2.2,2.0 ,2.7 ,75 ,4.4  ,0.4 ,2405   ,10 ,      
 ,W,Morgan          ,LEI ,D,0.13 ,0.04 ,2.6,2.2 ,4.3 ,67 ,4.5  ,0.9 ,2356   ,4  ,      
 ,L,Dunk            ,BHA ,D,0.33 ,0.4  ,3.5,3.8 ,4.7 ,87 ,4.5  ,4.6 ,2092   ,1  ,      
 ,C,Azpilicueta     ,CHE ,D,0.37 ,0.35 ,4.3,4.2 ,4.5 ,100,6.3  ,9.9 ,1557   ,0  ,      
 ,J,Hogg            ,HUD ,M,0.11 ,0.14 ,2.5,2.6 ,3.8 ,68 ,4.4  ,0.5 ,1486   ,5  ,      
 ,M,Sakho           ,CRY ,D,0.24 ,0.18 ,3.2,2.9 ,3.8 ,100,4.9  ,1.4 ,1391   ,2  ,      
 ,J,Evans           ,LEI ,D,0.33 ,0.35 ,3.6,3.7 ,4.7 ,48 ,4.8  ,0.3 ,1251   ,7  ,      
 ,A,Begovic         ,BOU ,G,0.27 ,0.29 ,3.2,3.3 ,2.0 ,100,4.5  ,4.1 ,869    ,0  ,      
 ,J,Lössl           ,HUD ,G,0.3  ,0.32 ,3.3,3.4 ,4.0 ,85 ,4.4  ,1.6 ,841    ,1  ,      
 ,J,Tomkins         ,CRY ,D,0.21 ,0.14 ,2.9,2.6 ,3.3 ,83 ,4.3  ,2.9 ,793    ,0  ,      
 ,S,Morrison        ,CAR ,D,0.13 ,0.13 ,2.6,2.6 ,3.7 ,98 ,4.7  ,0.4 ,773    ,3  ,      
 ,R,Lukaku          ,MUN ,F,0.2  ,0.21 ,4.1,4.2 ,5.0 ,77 ,10.7 ,4.4 ,375    ,0  ,      
