O,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn    ,011921
 ,A,Williams        ,EVE ,D,0.17 ,0.25 ,2.9,3.3 ,1.6 ,1428,5.2  ,2.8 ,-7937  ,      
 ,K,Naughton        ,SWA ,D,0.22 ,0.22 ,3.0,3.0 ,0.8 ,1876,4.5  ,2.9 ,-7972  ,      
 ,M,Lowton          ,BUR ,D,0.48 ,0.48 ,4.1,4.1 ,0.0 ,1170,4.4  ,1.9 ,-8012  ,      
 ,L,Fabianski       ,SWA ,G,0.43 ,0.43 ,4.0,4.0 ,2.4 ,2070,4.6  ,7.5 ,-8100  ,      
 ,A,Mooy            ,HUD ,M,0.3  ,0.31 ,3.6,3.7 ,2.8 ,1978,5.4  ,6.6 ,-8228  ,      
 ,E,Can             ,LIV ,M,0.21 ,0.25 ,3.0,3.2 ,3.2 ,1433,4.8  ,3.8 ,-8251  ,      
 ,G,Xhaka           ,ARS ,M,0.19 ,0.19 ,3.0,3.0 ,2.8 ,1990,5.2  ,7.1 ,-8499  ,      
 ,C,Löwe            ,HUD ,D,0.16 ,0.27 ,2.7,3.2 ,0.6 ,1234,4.4  ,1.7 ,-8607  ,      
 ,C,Daniels         ,BOU ,D,0.21 ,0.21 ,3.0,3.0 ,0.6 ,1737,4.7  ,6.1 ,-8778  ,      
 ,F,Kiko Femenía    ,WAT ,D,0.32 ,0.36 ,3.4,3.6 ,0.0 ,1214,4.4  ,1.6 ,-9010  ,      
