O,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,min ,price,%   ,txn    ,123000
 ,M,Merino          ,NEW ,M,0.08 ,0.06 ,2.4,2.3 ,1062,5.0  ,0.1 ,-185   ,      
 ,A,Lennon          ,EVE ,M,0.06 ,0.19 ,2.3,3.0 ,637 ,5.4  ,0.1 ,-204   ,      
 ,C,Kouyaté         ,WHU ,M,0.14 ,0.22 ,2.7,3.1 ,1186,5.0  ,0.2 ,-208   ,      
 ,G,Cameron         ,STK ,D,-0.07,-0.05,1.7,1.8 ,938 ,4.3  ,0.3 ,-240   ,      
 ,J,Ibe             ,BOU ,M,0.0  ,-0.02,2.0,1.9 ,1026,4.8  ,0.3 ,-243   ,      
 ,M,Noble           ,WHU ,M,0.09 ,0.02 ,2.5,2.1 ,825 ,5.3  ,0.1 ,-253   ,      
 ,T,Davies          ,EVE ,M,-0.08,0.0  ,1.6,2.0 ,946 ,5.2  ,0.4 ,-261   ,      
 ,E,Kachunga        ,HUD ,M,0.1  ,0.09 ,2.6,2.5 ,1253,5.8  ,0.1 ,-299   ,      
 ,A,Adam Smith      ,BOU ,D,-0.1 ,-0.08,1.5,1.6 ,1406,4.8  ,0.4 ,-304   ,      
 ,J,Hogg            ,HUD ,M,-0.09,-0.02,1.6,1.9 ,930 ,4.4  ,0.3 ,-317   ,      
 ,L,Fer             ,SWA ,M,0.02 ,0.1  ,2.1,2.5 ,1179,5.2  ,0.2 ,-353   ,      
 ,C,Brunt           ,WBA ,M,0.2  ,0.39 ,3.0,4.0 ,619 ,5.1  ,0.5 ,-374   ,      
 ,B,Sako            ,CRY ,M,-0.02,0.0  ,1.9,2.0 ,220 ,4.9  ,0.1 ,-411   ,      
 ,S,March           ,BHA ,M,0.02 ,0.18 ,2.1,2.9 ,1179,4.9  ,0.3 ,-456   ,      
 ,J,Ward            ,CRY ,D,-0.02,-0.02,1.9,1.9 ,1214,4.7  ,0.2 ,-457   ,      
 ,J,Hendrick        ,BUR ,M,0.2  ,0.22 ,3.1,3.2 ,1332,5.4  ,0.2 ,-466   ,      
 ,M,Olsson          ,SWA ,D,0.2  ,0.2  ,3.0,3.0 ,1616,5.0  ,0.3 ,-536   ,      
 ,I,Hayden          ,NEW ,M,-0.04,-0.02,1.8,1.9 ,1091,4.5  ,0.2 ,-561   ,      
 ,I,Gündogan        ,MCI ,M,0.02 ,0.75 ,2.1,6.0 ,414 ,5.3  ,0.6 ,-584   ,      
 ,J,Holebas         ,WAT ,D,0.06 ,0.1  ,2.3,2.5 ,1211,4.9  ,0.5 ,-597   ,      
 ,Y,Cabaye          ,CRY ,M,0.09 ,0.13 ,2.5,2.7 ,1303,5.4  ,0.3 ,-617   ,      
 ,R,Mesa            ,SWA ,M,-0.07,-0.02,1.7,1.9 ,708 ,4.3  ,0.5 ,-688   ,      
 ,C,Clark           ,NEW ,D,0.2  ,0.25 ,2.9,3.1 ,1205,4.4  ,1.7 ,-704   ,      
 ,A,Ayew            ,WHU ,M,0.12 ,0.19 ,2.8,3.3 ,854 ,6.8  ,1.0 ,-717   ,      
 ,F,Lejeune         ,NEW ,D,-0.14,-0.11,1.4,1.5 ,1023,4.4  ,0.2 ,-749   ,      
 ,J,Rodriguez       ,WBA ,F,0.04 ,0.07 ,2.2,2.4 ,1447,5.5  ,0.6 ,-751   ,      
 ,A,Pérez           ,NEW ,F,0.02 ,0.12 ,2.1,2.6 ,1129,5.2  ,0.7 ,-766   ,      
 ,M,Sissoko         ,TOT ,M,0.02 ,0.11 ,2.1,2.6 ,911 ,5.4  ,0.4 ,-769   ,      
 ,G,Barry           ,WBA ,M,0.11 ,0.07 ,2.5,2.3 ,1350,4.5  ,1.0 ,-826   ,      
 ,A,Iwobi           ,ARS ,M,0.2  ,0.27 ,3.0,3.4 ,691 ,5.1  ,0.5 ,-839   ,      
 ,S,Mignolet        ,LIV ,G,0.33 ,0.33 ,3.6,3.6 ,1620,4.9  ,1.6 ,-872   ,      
 ,S,Dann            ,CRY ,D,0.0  ,0.0  ,2.0,2.0 ,1415,4.7  ,0.6 ,-875   ,      
 ,S,Francis         ,BOU ,D,-0.09,0.0  ,1.6,2.0 ,1342,4.3  ,0.9 ,-887   ,      
 ,C,Fàbregas        ,CHE ,M,0.16 ,0.25 ,3.1,3.7 ,1275,6.8  ,3.7 ,-927   ,      
 ,W,Reid            ,WHU ,D,0.13 ,0.13 ,2.6,2.6 ,1246,4.8  ,0.7 ,-972   ,      
 ,W,Ndidi           ,LEI ,M,0.1  ,0.1  ,2.5,2.5 ,1770,4.9  ,0.5 ,-988   ,      
 ,J,Schlupp         ,CRY ,D,0.02 ,0.02 ,2.1,2.1 ,1497,4.7  ,0.4 ,-1008  ,      
 ,D,Fletcher        ,STK ,M,0.12 ,0.12 ,2.6,2.6 ,1705,4.9  ,0.6 ,-1030  ,      
 ,T,Cleverley       ,WAT ,M,0.14 ,0.14 ,2.7,2.7 ,1676,5.0  ,0.7 ,-1049  ,      
 ,H,Winks           ,TOT ,M,-0.02,0.19 ,1.9,2.9 ,768 ,4.8  ,0.2 ,-1084  ,      
 ,J,Butland         ,STK ,G,0.16 ,0.16 ,2.8,2.8 ,1530,5.0  ,2.2 ,-1138  ,      
 ,A,Knockaert       ,BHA ,M,0.13 ,0.2  ,2.7,3.1 ,1336,5.6  ,0.6 ,-1166  ,      
 ,G,Sigurdsson      ,EVE ,M,0.19 ,0.22 ,3.5,3.8 ,1563,8.0  ,2.3 ,-1208  ,      
 ,M,Dembélé         ,TOT ,M,-0.06,0.02 ,1.7,2.1 ,877 ,4.9  ,1.5 ,-1298  ,      
 ,G,Wijnaldum       ,LIV ,M,0.12 ,0.15 ,2.8,3.0 ,1316,6.7  ,2.2 ,-1455  ,      
 ,M,Antonio         ,WHU ,M,0.09 ,0.15 ,2.7,3.1 ,1061,7.4  ,0.2 ,-1509  ,      
 ,E,Pieters         ,STK ,D,-0.09,-0.09,1.6,1.6 ,1590,4.7  ,0.4 ,-1537  ,      
 ,I,Gueye           ,EVE ,M,-0.04,-0.04,1.8,1.8 ,1599,4.8  ,0.8 ,-1661  ,      
 ,D,Tadic           ,SOU ,M,0.22 ,0.22 ,3.4,3.4 ,1363,6.3  ,1.7 ,-1716  ,      
 ,A,Nyom            ,WBA ,D,0.16 ,0.18 ,2.8,2.9 ,1306,4.9  ,1.3 ,-1930  ,      
 ,A,Cresswell       ,WHU ,D,0.24 ,0.27 ,3.2,3.4 ,1584,5.1  ,2.5 ,-1953  ,      
 ,O,Giroud          ,ARS ,F,0.05 ,0.0  ,2.4,2.0 ,360 ,8.2  ,1.1 ,-2041  ,      
 ,R,Brady           ,BUR ,M,0.31 ,0.35 ,3.7,3.9 ,1277,5.4  ,0.6 ,-2057  ,      
 ,D,Stephens        ,BHA ,M,0.09 ,0.09 ,2.4,2.4 ,1800,4.5  ,1.4 ,-2171  ,      
 ,P,Cech            ,ARS ,G,0.37 ,0.37 ,4.0,4.0 ,1800,5.4  ,5.1 ,-2176  ,      
 ,J,Defoe           ,BOU ,F,0.09 ,0.25 ,2.7,3.9 ,787 ,7.6  ,1.4 ,-2265  ,      
 ,C,Löwe            ,HUD ,D,0.18 ,0.31 ,2.8,3.4 ,1159,4.5  ,2.4 ,-2329  ,      
 ,F,Fernández       ,SWA ,D,0.11 ,0.11 ,2.5,2.5 ,1350,4.5  ,1.7 ,-2362  ,      
 ,W,Bony            ,SWA ,F,0.11 ,0.35 ,2.6,4.0 ,650 ,5.7  ,0.2 ,-2384  ,      
 ,T,Bakayoko        ,CHE ,M,0.24 ,0.38 ,3.2,3.9 ,1345,5.0  ,2.6 ,-2386  ,      
x,R,Loftus-Cheek    ,CRY ,M,0.28 ,0.33 ,3.3,3.5 ,1329,4.6  ,8.5 ,-2433  ,      
 ,P,Obiang          ,WHU ,M,0.09 ,0.18 ,2.4,2.8 ,1243,4.4  ,1.1 ,-2444  ,      
 ,N,Redmond         ,SOU ,M,0.07 ,0.08 ,2.4,2.5 ,1353,6.0  ,1.8 ,-2563  ,      
 ,P,Pedro           ,CHE ,M,0.18 ,0.38 ,3.4,4.9 ,850 ,7.7  ,1.2 ,-2590  ,      
 ,A,Mawson          ,SWA ,D,0.2  ,0.2  ,3.0,3.0 ,1800,5.0  ,1.1 ,-2663  ,      
