W,I,web_name        ,team,T,px  ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn    ,gf ,122417
 ,H,Costa           ,WOL ,M,4.8 ,71 ,0.04 ,0.08 ,2.2,2.4 ,2.0 ,0.4 ,-686   ,-3 ,      
 ,J,Hogg            ,HUD ,M,4.4 ,66 ,0.05 ,0.07 ,2.2,2.3 ,1.3 ,0.4 ,-742   ,-3 ,      
 ,J,Lerma           ,BOU ,M,4.5 ,74 ,0.09 ,-0.02,2.4,1.9 ,0.8 ,0.4 ,-765   ,-3 ,      
 ,F,Fernández       ,NEW ,D,4.4 ,69 ,0.27 ,0.3  ,3.2,3.3 ,1.7 ,0.4 ,-836   ,-3 ,      
 ,N,Mendy           ,LEI ,M,4.5 ,87 ,0.09 ,0.09 ,2.4,2.4 ,2.0 ,1.2 ,-1073  ,-1 ,      
 ,A,Begovic         ,BOU ,G,4.5 ,100,0.27 ,0.2  ,3.2,2.9 ,2.8 ,3.9 ,-1256  ,-1 ,      
 ,D,De Gea          ,MUN ,G,5.7 ,100,0.14 ,0.16 ,2.8,2.9 ,2.4 ,14.8,-1324  ,0  ,      
 ,A,McCarthy        ,SOU ,G,4.5 ,100,0.27 ,0.27 ,3.2,3.2 ,2.2 ,3.1 ,-1383  ,-1 ,      
 ,B,Mee             ,BUR ,D,4.7 ,100,0.09 ,0.09 ,2.4,2.4 ,2.2 ,2.0 ,-1559  ,-1 ,      
 ,S,Bamba           ,CAR ,D,4.5 ,94 ,0.27 ,0.31 ,3.2,3.4 ,2.4 ,1.8 ,-1559  ,-1 ,      
 ,W,Ndidi           ,LEI ,M,4.9 ,98 ,0.1  ,0.1  ,2.5,2.5 ,2.2 ,0.8 ,-1578  ,-3 ,      
 ,A,Westwood        ,BUR ,M,4.5 ,69 ,0.09 ,0.18 ,2.4,2.8 ,1.3 ,1.5 ,-1743  ,-2 ,      
 ,S,March           ,BHA ,M,5.0 ,84 ,0.28 ,0.34 ,3.4,3.7 ,5.0 ,1.6 ,-1925  ,-2 ,      
 ,A,Knockaert       ,BHA ,M,5.4 ,67 ,0.15 ,0.28 ,2.8,3.5 ,1.2 ,0.7 ,-2024  ,-5 ,      
 ,J,Lascelles       ,NEW ,D,4.7 ,72 ,0.26 ,0.3  ,3.2,3.4 ,2.3 ,3.2 ,-2072  ,-1 ,      
 ,C,Smalling        ,MUN ,D,5.6 ,70 ,0.13 ,0.13 ,2.7,2.7 ,0.4 ,1.4 ,-2213  ,-3 ,      
 ,W,Hughes          ,WAT ,M,4.9 ,70 ,0.1  ,0.18 ,2.5,2.9 ,0.6 ,0.7 ,-2476  ,-6 ,      
 ,S,Coleman         ,EVE ,D,5.2 ,76 ,0.12 ,0.15 ,2.6,2.8 ,0.4 ,1.4 ,-2561  ,-3 ,      
 ,T,Walcott         ,EVE ,M,6.1 ,82 ,0.28 ,0.28 ,3.7,3.7 ,3.0 ,3.6 ,-2581  ,-1 ,      
