O,I,web_name      ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn   ,gf ,021211
 ,I,Gueye         ,EVE ,M,0.04 ,0.04 ,2.2,2.2 ,1.8 ,2018,4.8  ,0.8 ,-177  ,0  ,      
 ,A,Knockaert     ,BHA ,M,0.13 ,0.22 ,2.7,3.2 ,0.8 ,1687,5.5  ,0.5 ,-182  ,-1 ,      
 ,A,Nyom          ,WBA ,D,0.1  ,0.15 ,2.5,2.7 ,0.5 ,1496,4.8  ,1.1 ,-193  ,0  ,      
 ,G,Wijnaldum     ,LIV ,M,0.08 ,0.12 ,2.5,2.8 ,1.8 ,1697,6.6  ,2.0 ,-194  ,0  ,      
 ,W,Reid          ,WHU ,D,0.13 ,0.13 ,2.6,2.6 ,0.0 ,1426,4.8  ,0.6 ,-202  ,-1 ,      
 ,P,Zabaleta      ,WHU ,D,0.1  ,0.1  ,2.5,2.5 ,2.5 ,2299,4.9  ,2.2 ,-214  ,0  ,      
 ,R,Shawcross     ,STK ,D,0.15 ,0.17 ,2.7,2.8 ,3.4 ,1651,4.8  ,0.9 ,-215  ,0  ,      
 ,S,Arfield       ,BUR ,M,0.22 ,0.33 ,3.1,3.6 ,1.0 ,1330,4.9  ,0.3 ,-217  ,-1 ,      
 ,T,Fosu-Mensah   ,CRY ,D,-0.02,0.0  ,1.9,2.0 ,1.0 ,1500,4.4  ,1.2 ,-227  ,0  ,      
 ,S,Defour        ,BUR ,M,0.11 ,0.11 ,2.6,2.6 ,0.3 ,1998,5.4  ,0.3 ,-250  ,-1 ,      
 ,M,Noble         ,WHU ,M,0.21 ,0.19 ,3.1,3.0 ,4.5 ,1410,5.3  ,0.3 ,-251  ,-1 ,      
 ,T,Smith         ,HUD ,D,0.0  ,-0.02,2.0,1.9 ,0.0 ,1609,4.7  ,0.2 ,-252  ,-2 ,      
 ,J,Butland       ,STK ,G,0.24 ,0.24 ,3.2,3.2 ,4.8 ,2160,5.0  ,2.3 ,-277  ,0  ,      
 ,D,Lovren        ,LIV ,D,0.25 ,0.36 ,3.3,3.9 ,2.0 ,1566,5.3  ,1.2 ,-281  ,0  ,      
 ,C,Cédric        ,SOU ,D,0.04 ,0.04 ,2.2,2.2 ,1.5 ,1804,4.7  ,2.4 ,-282  ,0  ,      
 ,J,King          ,BOU ,F,0.11 ,0.16 ,2.8,3.1 ,1.8 ,1598,7.0  ,1.1 ,-310  ,0  ,      
x,A,Adrián        ,WHU ,G,0.34 ,0.34 ,3.5,3.5 ,3.0 ,1170,4.4  ,3.6 ,-313  ,0  ,      
 ,N,Redmond       ,SOU ,M,0.03 ,0.08 ,2.2,2.5 ,0.3 ,1371,5.9  ,1.6 ,-329  ,0  ,      
 ,J,Ibe           ,BOU ,M,0.14 ,0.18 ,2.7,2.9 ,4.8 ,1581,4.9  ,2.1 ,-340  ,0  ,      
 ,T,Cleverley     ,WAT ,M,0.1  ,0.14 ,2.5,2.7 ,0.8 ,1900,5.0  ,0.5 ,-405  ,-1 ,      
