W,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min,price,%   ,txn    ,gf ,092821
 ,M,Antonio         ,WHU ,M,0.0  ,0.03 ,2.0,2.2 ,2.3 ,316,6.8  ,0.9 ,-1009  ,-2 ,      
 ,J,Vestergaard     ,SOU ,D,0.16 ,0.16 ,2.8,2.8 ,2.3 ,450,4.9  ,0.4 ,-1031  ,-5 ,      
 ,N,Redmond         ,SOU ,M,0.06 ,0.06 ,2.3,2.3 ,2.3 ,540,5.4  ,0.3 ,-1059  ,-6 ,      
 ,W,Hoedt           ,SOU ,D,0.04 ,0.04 ,2.2,2.2 ,2.0 ,540,4.5  ,0.3 ,-1114  ,-7 ,      
 ,P,van Aanholt     ,CRY ,D,0.4  ,0.4  ,4.2,4.2 ,4.3 ,540,5.5  ,4.7 ,-1150  ,0  ,      
 ,R,Fredericks      ,WHU ,D,-0.36,-0.36,0.3,0.3 ,0.3 ,270,4.7  ,0.3 ,-1200  ,-7 ,      
 ,J,Cork            ,BUR ,M,0.0  ,0.0  ,2.0,2.0 ,2.0 ,540,4.8  ,0.6 ,-1225  ,-4 ,      
 ,M,Dembélé         ,TOT ,M,-0.1 ,-0.04,1.5,1.8 ,1.3 ,373,4.9  ,1.3 ,-1237  ,-2 ,      
 ,S,Bamba           ,CAR ,D,0.53 ,0.53 ,4.4,4.4 ,2.3 ,450,4.5  ,1.3 ,-1356  ,-2 ,      
 ,L,Fabianski       ,WHU ,G,0.49 ,0.49 ,4.2,4.2 ,5.7 ,540,4.5  ,13.3,-1392  ,0  ,      
 ,M,Lemina          ,SOU ,M,0.1  ,0.1  ,2.5,2.5 ,2.0 ,540,5.0  ,0.3 ,-1598  ,-9 ,      
 ,C,Wood            ,BUR ,F,-0.05,0.0  ,1.7,2.0 ,1.3 ,334,6.3  ,0.3 ,-1614  ,-9 ,      
 ,C,Kabasele        ,WAT ,D,0.11 ,0.11 ,2.5,2.5 ,1.7 ,540,4.5  ,0.6 ,-1773  ,-5 ,      
 ,S,Mounie          ,HUD ,F,0.1  ,0.1  ,2.6,2.6 ,1.3 ,432,5.9  ,0.2 ,-1815  ,-16,      
 ,W,Ndidi           ,LEI ,M,-0.04,-0.04,1.8,1.8 ,1.3 ,540,4.9  ,0.6 ,-1894  ,-6 ,      
 ,W,Morgan          ,LEI ,D,-0.38,-0.4 ,0.3,0.2 ,-0.7,338,4.5  ,0.9 ,-2079  ,-4 ,      
 ,M,Kovacic         ,CHE ,M,0.0  ,0.12 ,2.0,2.7 ,2.3 ,313,5.9  ,0.8 ,-2205  ,-5 ,      
 ,C,Chambers        ,FUL ,D,-0.18,-0.16,1.2,1.3 ,1.0 ,291,4.4  ,1.1 ,-2256  ,-4 ,      
 ,M,Albrighton      ,LEI ,M,0.15 ,-0.09,2.8,1.5 ,3.0 ,184,5.3  ,0.6 ,-2305  ,-7 ,      
 ,E,Dier            ,TOT ,M,0.0  ,0.0  ,2.0,2.0 ,1.3 ,421,4.8  ,1.5 ,-2445  ,-3 ,      
m,G,Murray          ,BHA ,F,0.43 ,0.43 ,4.8,4.8 ,6.7 ,540,6.5  ,2.2 ,-2623  ,-2 ,      
 ,J,Lössl           ,HUD ,G,0.41 ,0.41 ,3.8,3.8 ,2.0 ,347,4.4  ,1.4 ,-2629  ,-3 ,      
 ,G,Sigurdsson      ,EVE ,M,0.14 ,0.19 ,3.0,3.4 ,3.7 ,478,7.3  ,1.3 ,-2732  ,-4 ,      
 ,J,McArthur        ,CRY ,M,0.06 ,0.06 ,2.3,2.3 ,2.3 ,540,4.9  ,1.0 ,-2814  ,-5 ,      
 ,J,Bennett         ,CAR ,D,0.4  ,0.4  ,3.8,3.8 ,1.3 ,450,4.5  ,0.8 ,-3034  ,-7 ,      
 ,J,Vertonghen      ,TOT ,D,0.3  ,0.3  ,3.8,3.8 ,1.3 ,540,6.0  ,9.5 ,-3109  ,-1 ,      
 ,L,Dunk            ,BHA ,D,-0.23,-0.23,1.0,1.0 ,1.0 ,379,4.4  ,1.4 ,-3134  ,-4 ,      
 ,A,Traoré          ,WOL ,M,0.07 ,-0.36,2.4,0.0 ,3.3 ,130,5.5  ,0.6 ,-3193  ,-9 ,      
 ,R,Kenedy          ,NEW ,M,-0.08,-0.04,1.6,1.8 ,1.7 ,344,4.9  ,1.1 ,-3366  ,-5 ,      
 ,J,Tomkins         ,CRY ,D,0.57 ,0.57 ,4.5,4.5 ,3.7 ,360,4.4  ,4.1 ,-3498  ,-2 ,      
 ,D,Janmaat         ,WAT ,D,0.26 ,0.26 ,3.3,3.3 ,1.7 ,521,5.0  ,0.6 ,-3514  ,-10,      
 ,H,Bellerín        ,ARS ,D,0.09 ,0.09 ,2.5,2.5 ,2.7 ,540,5.4  ,10.3,-3993  ,-1 ,      
 ,C,Benteke         ,CRY ,F,0.0  ,0.0  ,2.0,2.0 ,0.7 ,325,6.4  ,0.6 ,-4123  ,-12,      
 ,A,Doucouré        ,WAT ,M,0.25 ,0.25 ,3.5,3.5 ,3.3 ,540,5.9  ,1.6 ,-4323  ,-5 ,      
 ,R,Ghezzal         ,LEI ,M,0.08 ,0.57 ,2.4,5.0 ,3.3 ,234,5.3  ,0.3 ,-4554  ,-27,      
 ,A,Townsend        ,CRY ,M,0.09 ,0.09 ,2.5,2.5 ,2.7 ,506,5.8  ,1.4 ,-4585  ,-6 ,      
 ,J,Lascelles       ,NEW ,D,0.29 ,0.41 ,3.4,4.0 ,2.7 ,405,4.9  ,4.7 ,-4613  ,-2 ,      
 ,M,Zanka           ,HUD ,D,0.27 ,0.27 ,3.2,3.2 ,3.0 ,437,4.5  ,4.4 ,-4640  ,-2 ,      
 ,A,Pérez           ,NEW ,F,-0.03,0.0  ,1.8,2.0 ,2.0 ,421,6.2  ,1.3 ,-4823  ,-7 ,      
 ,P,Billing         ,HUD ,M,0.27 ,0.27 ,3.2,3.2 ,4.3 ,540,4.5  ,2.7 ,-4954  ,-3 ,      
 ,L,Baines          ,EVE ,D,-0.13,-0.13,1.3,1.3 ,0.3 ,284,5.3  ,1.0 ,-5047  ,-9 ,      
 ,C,Schindler       ,HUD ,D,0.0  ,0.0  ,2.0,2.0 ,1.7 ,540,4.4  ,2.0 ,-5273  ,-5 ,      
 ,F,Felipe Anderson ,WHU ,M,0.04 ,0.04 ,2.3,2.3 ,2.0 ,494,6.8  ,2.0 ,-5461  ,-5 ,      
 ,J,King            ,BOU ,F,0.4  ,0.4  ,4.5,4.5 ,5.0 ,522,6.3  ,4.8 ,-5804  ,-2 ,      
 ,O,Giroud          ,CHE ,F,0.21 ,0.51 ,3.6,6.0 ,5.3 ,223,7.8  ,2.7 ,-5957  ,-4 ,      
 ,J,Seri            ,FUL ,M,0.4  ,0.4  ,4.2,4.2 ,4.0 ,496,5.5  ,3.9 ,-6263  ,-3 ,      
 ,S,Coleman         ,EVE ,D,-0.09,-0.09,1.5,1.5 ,0.7 ,360,5.3  ,0.9 ,-6660  ,-13,      
 ,D,Jota            ,WOL ,M,0.08 ,0.13 ,2.5,2.8 ,2.3 ,459,6.1  ,1.7 ,-6819  ,-7 ,      
 ,A,Mooy            ,HUD ,M,0.04 ,0.04 ,2.2,2.2 ,2.0 ,450,5.3  ,1.9 ,-6916  ,-6 ,      
 ,M,Ryan            ,BHA ,G,0.0  ,0.0  ,2.0,2.0 ,1.7 ,540,4.5  ,3.7 ,-7152  ,-3 ,      
 ,K,Kepa            ,CHE ,G,0.36 ,0.36 ,4.0,4.0 ,4.7 ,540,5.5  ,4.7 ,-7373  ,-3 ,      
 ,A,Begovic         ,BOU ,G,0.07 ,0.07 ,2.3,2.3 ,1.3 ,540,4.5  ,4.6 ,-7596  ,-3 ,      
 ,S,Sokratis        ,ARS ,D,-0.23,-0.19,0.8,1.0 ,1.0 ,488,5.3  ,1.4 ,-7955  ,-10,      
o,B,Foster          ,WAT ,G,0.16 ,0.16 ,2.7,2.7 ,2.0 ,540,4.5  ,4.4 ,-8144  ,-3 ,      
 ,A,McCarthy        ,SOU ,G,0.44 ,0.44 ,4.0,4.0 ,3.0 ,540,4.5  ,4.2 ,-8652  ,-4 ,      
 ,A,Alisson         ,LIV ,G,0.54 ,0.54 ,5.0,5.0 ,3.7 ,540,5.6  ,18.8,-8756  ,-1 ,      
 ,K,Schmeichel      ,LEI ,G,0.04 ,0.04 ,2.2,2.2 ,0.7 ,540,5.0  ,5.4 ,-9725  ,-3 ,      
 ,W,Willian         ,CHE ,M,0.3  ,0.2  ,4.2,3.5 ,5.3 ,332,7.4  ,6.0 ,-9847  ,-3 ,      
 ,N,Aké             ,BOU ,D,0.26 ,0.26 ,3.3,3.3 ,0.7 ,540,5.0  ,4.5 ,-9903  ,-4 ,      
 ,N,Etheridge       ,CAR ,G,0.76 ,0.76 ,5.5,5.5 ,1.7 ,540,4.6  ,7.8 ,-10521 ,-2 ,      
