O,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,min ,price,%   ,txn  ,122610
 ,S,Malone          ,HUD ,D,0.0  ,0.19 ,2.0,2.8 ,584 ,4.3  ,0.2 ,-3   ,      
 ,J,Izquierdo       ,BHA ,M,0.05 ,0.32 ,2.3,3.9 ,615 ,5.9  ,0.0 ,-3   ,      
 ,R,Fraser          ,BOU ,M,0.06 ,0.22 ,2.3,3.1 ,698 ,5.1  ,0.3 ,-4   ,      
 ,J,Shelvey         ,NEW ,M,-0.12,0.0  ,1.4,2.0 ,835 ,5.2  ,0.3 ,-4   ,      
 ,M,Yoshida         ,SOU ,D,0.35 ,0.44 ,3.7,4.1 ,1354,4.8  ,3.5 ,-4   ,      
 ,B,Sako            ,CRY ,M,0.0  ,0.0  ,2.0,2.0 ,200 ,4.9  ,0.1 ,-5   ,      
 ,M,Olsson          ,SWA ,D,0.24 ,0.24 ,3.2,3.2 ,1526,5.0  ,0.3 ,-5   ,      
 ,L,Lewis Cook      ,BOU ,M,-0.05,0.07 ,1.8,2.3 ,662 ,4.3  ,0.9 ,-6   ,      
 ,S,Ki Sung-yueng   ,SWA ,M,-0.04,0.02 ,1.8,2.1 ,712 ,4.9  ,0.0 ,-6   ,      
 ,E,Dier            ,TOT ,M,0.04 ,0.06 ,2.2,2.3 ,1688,4.7  ,2.4 ,-6   ,      
 ,J,Murphy          ,NEW ,M,-0.1 ,-0.02,1.5,1.9 ,553 ,5.0  ,0.1 ,-6   ,      
 ,M,van der Hoorn   ,SWA ,D,0.27 ,0.34 ,3.2,3.5 ,729 ,4.4  ,0.1 ,-7   ,      
 ,A,Adam Smith      ,BOU ,D,-0.1 ,-0.08,1.5,1.6 ,1322,4.8  ,0.4 ,-8   ,      
 ,J,Manquillo       ,NEW ,D,0.07 ,0.05 ,2.3,2.2 ,1440,4.4  ,1.1 ,-8   ,      
 ,S,Defour          ,BUR ,M,0.09 ,0.09 ,2.5,2.5 ,1577,5.4  ,0.3 ,-9   ,      
 ,M,Lanzini         ,WHU ,M,0.24 ,0.34 ,3.6,4.3 ,1044,6.8  ,1.0 ,-9   ,      
 ,J,Ibe             ,BOU ,M,-0.02,-0.02,1.9,1.9 ,942 ,4.8  ,0.4 ,-10  ,      
 ,J,Puncheon        ,CRY ,M,-0.18,-0.16,1.2,1.3 ,554 ,4.5  ,0.4 ,-10  ,      
 ,M,Keane           ,EVE ,D,-0.02,0.0  ,1.9,2.0 ,1077,5.3  ,4.9 ,-10  ,      
 ,B,Bernardo Silva  ,MCI ,M,0.05 ,0.27 ,2.4,4.0 ,478 ,7.4  ,0.6 ,-10  ,      
 ,A,Pérez           ,NEW ,F,0.02 ,0.12 ,2.1,2.6 ,1129,5.2  ,0.7 ,-11  ,      
 ,J,Ward-Prowse     ,SOU ,M,-0.02,0.24 ,1.9,3.2 ,688 ,5.0  ,0.4 ,-11  ,      
 ,J,Stanislas       ,BOU ,M,0.15 ,0.19 ,2.9,3.1 ,675 ,5.9  ,0.1 ,-12  ,      
 ,S,March           ,BHA ,M,0.02 ,0.2  ,2.1,3.0 ,1104,5.0  ,0.3 ,-12  ,      
 ,M,Noble           ,WHU ,M,0.09 ,0.02 ,2.5,2.1 ,825 ,5.3  ,0.1 ,-12  ,      
 ,Y,Cabaye          ,CRY ,M,0.11 ,0.15 ,2.6,2.8 ,1251,5.4  ,0.3 ,-13  ,      
 ,J,Hogg            ,HUD ,M,-0.11,-0.02,1.5,1.9 ,846 ,4.4  ,0.3 ,-13  ,      
 ,E,Kachunga        ,HUD ,M,0.1  ,0.09 ,2.6,2.5 ,1253,5.8  ,0.1 ,-13  ,      
 ,V,Lindelöf        ,MUN ,D,-0.02,0.04 ,1.9,2.2 ,563 ,4.9  ,1.2 ,-14  ,      
 ,J,Ward            ,CRY ,D,-0.02,-0.02,1.9,1.9 ,1214,4.8  ,0.2 ,-15  ,      
 ,C,Brunt           ,WBA ,M,0.16 ,0.43 ,2.8,4.2 ,532 ,5.1  ,0.5 ,-15  ,      
 ,P,van Aanholt     ,CRY ,D,-0.24,-0.24,0.8,0.8 ,616 ,5.1  ,0.8 ,-17  ,      
 ,G,Krychowiak      ,WBA ,M,0.12 ,0.18 ,2.6,2.9 ,878 ,4.9  ,0.2 ,-17  ,      
 ,T,Ince            ,HUD ,M,0.07 ,0.09 ,2.4,2.5 ,1594,5.5  ,0.4 ,-18  ,      
 ,M,Albrighton      ,LEI ,M,0.16 ,0.27 ,2.9,3.5 ,1309,5.5  ,1.9 ,-18  ,      
 ,A,Ayew            ,WHU ,M,0.12 ,0.22 ,2.8,3.5 ,800 ,6.8  ,1.0 ,-18  ,      
 ,M,Antonio         ,WHU ,M,0.09 ,0.15 ,2.7,3.1 ,1061,7.4  ,0.3 ,-18  ,      
 ,M,Merino          ,NEW ,M,0.1  ,0.06 ,2.5,2.3 ,1049,5.0  ,0.1 ,-18  ,      
 ,J,Hendrick        ,BUR ,M,0.2  ,0.24 ,3.1,3.3 ,1247,5.4  ,0.2 ,-19  ,      
 ,C,Dawson          ,WBA ,D,0.17 ,0.21 ,2.8,3.0 ,813 ,4.8  ,1.1 ,-19  ,      
 ,W,Ndidi           ,LEI ,M,0.1  ,0.1  ,2.5,2.5 ,1684,4.9  ,0.5 ,-20  ,      
 ,T,Alexander-Arnold,LIV ,D,0.19 ,0.19 ,2.8,2.8 ,529 ,4.2  ,1.2 ,-20  ,      
 ,J,Rodriguez       ,WBA ,F,0.02 ,0.07 ,2.1,2.4 ,1360,5.5  ,0.6 ,-21  ,      
 ,D,Stephens        ,BHA ,M,0.09 ,0.11 ,2.4,2.5 ,1716,4.5  ,1.5 ,-23  ,      
 ,C,Fuchs           ,LEI ,D,0.18 ,0.2  ,2.9,3.0 ,1171,4.9  ,2.1 ,-23  ,      
 ,F,Lejeune         ,NEW ,D,-0.14,-0.11,1.4,1.5 ,1023,4.4  ,0.2 ,-24  ,      
 ,D,Zappacosta      ,CHE ,D,0.19 ,0.39 ,3.1,4.3 ,551 ,5.9  ,0.3 ,-25  ,      
 ,L,Fer             ,SWA ,M,0.02 ,0.1  ,2.1,2.5 ,1102,5.2  ,0.2 ,-26  ,      
 ,A,Knockaert       ,BHA ,M,0.14 ,0.2  ,2.8,3.1 ,1328,5.6  ,0.6 ,-27  ,      
 ,W,Hennessey       ,CRY ,G,0.3  ,0.3  ,3.3,3.3 ,810 ,4.3  ,0.9 ,-27  ,      
 ,E,Lamela          ,TOT ,M,-0.06,0.16 ,1.6,3.0 ,156 ,6.3  ,0.1 ,-27  ,      
 ,M,Sissoko         ,TOT ,M,0.02 ,0.11 ,2.1,2.6 ,911 ,5.4  ,0.4 ,-27  ,      
 ,S,Mounie          ,HUD ,F,0.16 ,0.51 ,2.9,4.9 ,708 ,5.7  ,1.0 ,-28  ,      
 ,M,Phillips        ,WBA ,M,0.16 ,0.24 ,2.9,3.3 ,804 ,5.5  ,0.4 ,-28  ,      
 ,J,Butland         ,STK ,G,0.12 ,0.14 ,2.6,2.7 ,1446,5.0  ,2.3 ,-29  ,      
 ,R,Shawcross       ,STK ,D,0.06 ,0.08 ,2.3,2.4 ,1266,4.8  ,1.0 ,-29  ,      
 ,D,Fletcher        ,STK ,M,0.12 ,0.14 ,2.6,2.7 ,1636,4.9  ,0.6 ,-30  ,      
 ,I,Hayden          ,NEW ,M,-0.04,-0.02,1.8,1.9 ,1091,4.5  ,0.2 ,-30  ,      
 ,M,Dembélé         ,TOT ,M,-0.06,0.04 ,1.7,2.2 ,877 ,4.9  ,1.5 ,-31  ,      
 ,A,Herrera         ,MUN ,M,-0.1 ,0.0  ,1.5,2.0 ,760 ,5.0  ,1.3 ,-36  ,      
 ,J,Milner          ,LIV ,D,0.03 ,0.23 ,2.2,3.4 ,815 ,6.1  ,2.2 ,-37  ,      
 ,G,Wijnaldum       ,LIV ,M,0.12 ,0.15 ,2.8,3.0 ,1226,6.7  ,2.2 ,-37  ,      
 ,M,Britos          ,WAT ,D,0.05 ,0.19 ,2.2,2.8 ,704 ,4.3  ,0.7 ,-37  ,      
 ,A,Nyom            ,WBA ,D,0.16 ,0.18 ,2.8,2.9 ,1306,4.9  ,1.3 ,-37  ,      
 ,H,Arter           ,BOU ,M,0.04 ,0.06 ,2.2,2.3 ,877 ,4.8  ,0.4 ,-39  ,      
 ,I,Gündogan        ,MCI ,M,0.0  ,1.04 ,2.0,7.5 ,324 ,5.3  ,0.6 ,-39  ,      
 ,T,Deeney          ,WAT ,F,0.02 ,-0.03,2.1,1.8 ,628 ,6.3  ,0.4 ,-40  ,      
 ,A,Townsend        ,CRY ,M,0.13 ,0.14 ,2.7,2.8 ,1618,5.6  ,0.9 ,-42  ,      
 ,T,Cleverley       ,WAT ,M,0.12 ,0.14 ,2.6,2.7 ,1590,5.0  ,0.7 ,-45  ,      
 ,J,Cork            ,BUR ,M,0.17 ,0.17 ,2.8,2.8 ,1715,4.6  ,3.8 ,-46  ,      
 ,D,de Gea          ,MUN ,G,0.51 ,0.56 ,5.0,5.3 ,1715,5.9  ,44.2,-46  ,      
 ,F,Fernández       ,SWA ,D,0.16 ,0.16 ,2.7,2.7 ,1260,4.5  ,1.8 ,-47  ,      
 ,A,Chamberlain     ,LIV ,M,0.04 ,0.25 ,2.2,3.4 ,862 ,5.6  ,1.5 ,-48  ,      
