W,I,web_name        ,team,T,VA/M ,VA/ML,p/g ,p/gl,form,min,price,%   ,txn   ,gf ,081112
 ,S,Morrison        ,CAR ,D,-0.2 ,-0.4 ,1.0 ,0.0 ,1.0 ,90 ,5.0  ,0.7 ,-50   ,0  ,      
o,B,Bernardo Silva  ,MCI ,M,-0.27,-0.27,0.0 ,0.0 ,0.0 ,0  ,7.5  ,6.7 ,-51   ,0  ,      
 ,D,Yedlin          ,NEW ,D,-0.22,-0.44,1.0 ,0.0 ,1.0 ,90 ,4.5  ,1.8 ,-51   ,0  ,      
 ,C,Atsu            ,NEW ,M,-0.18,-0.36,1.0 ,0.0 ,1.0 ,21 ,5.5  ,0.2 ,-51   ,-1 ,      
 ,M,Bettinelli      ,FUL ,G,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,0.3 ,-52   ,0  ,      
 ,A,Lookman         ,EVE ,M,-0.36,-0.36,0.0 ,0.0 ,0.0 ,0  ,5.5  ,0.3 ,-53   ,0  ,      
 ,A,Mariappa        ,WAT ,D,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,0.2 ,-53   ,-1 ,      
 ,M,Özil            ,ARS ,M,-0.24,-0.24,0.0 ,0.0 ,0.0 ,0  ,8.5  ,5.3 ,-54   ,0  ,      
 ,D,David Silva     ,MCI ,M,-0.24,-0.24,0.0 ,0.0 ,0.0 ,0  ,8.5  ,5.1 ,-54   ,0  ,      
 ,F,Forster         ,SOU ,G,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,1.4 ,-54   ,0  ,      
 ,A,Carroll         ,WHU ,F,-0.36,-0.36,0.0 ,0.0 ,0.0 ,0  ,5.5  ,0.1 ,-54   ,-1 ,      
 ,H,Choudhury       ,LEI ,M,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,0.1 ,-55   ,-1 ,      
 ,J,Matip           ,LIV ,D,-0.4 ,-0.4 ,0.0 ,0.0 ,0.0 ,0  ,5.0  ,0.1 ,-56   ,-1 ,      
 ,S,Johansen        ,FUL ,M,-0.18,-0.36,1.0 ,0.0 ,1.0 ,8  ,5.5  ,0.2 ,-57   ,-1 ,      
 ,M,Vorm            ,TOT ,G,-0.4 ,-0.4 ,0.0 ,0.0 ,0.0 ,0  ,5.0  ,0.1 ,-57   ,-1 ,      
 ,R,Fonte           ,FUL ,M,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,0.5 ,-59   ,0  ,      
 ,F,Benkovic        ,LEI ,D,-0.4 ,-0.4 ,0.0 ,0.0 ,0.0 ,0  ,5.0  ,0.1 ,-59   ,-1 ,      
 ,N,Redmond         ,SOU ,M,-0.36,-0.36,0.0 ,0.0 ,0.0 ,0  ,5.5  ,0.5 ,-60   ,0  ,      
 ,M,Elyounoussi     ,SOU ,M,-0.31,-0.31,0.0 ,0.0 ,0.0 ,0  ,6.5  ,0.5 ,-60   ,0  ,      
 ,A,Knockaert       ,BHA ,M,0.0  ,-0.36,2.0 ,0.0 ,2.0 ,90 ,5.5  ,0.5 ,-61   ,0  ,      
 ,L,Karius          ,LIV ,G,-0.4 ,-0.4 ,0.0 ,0.0 ,0.0 ,0  ,5.0  ,0.2 ,-61   ,-1 ,      
 ,B,Leno            ,ARS ,G,-0.4 ,-0.4 ,0.0 ,0.0 ,0.0 ,0  ,5.0  ,2.5 ,-63   ,0  ,      
 ,J,Jordan Ayew     ,CRY ,F,-0.33,-0.33,0.0 ,0.0 ,0.0 ,0  ,6.0  ,0.5 ,-65   ,0  ,      
 ,J,Speroni         ,CRY ,G,-0.5 ,-0.5 ,0.0 ,0.0 ,0.0 ,0  ,4.0  ,15.7,-66   ,0  ,      
 ,L,Sané            ,MCI ,M,-0.21,-0.21,0.0 ,0.0 ,0.0 ,0  ,9.5  ,14.4,-66   ,0  ,      
 ,D,Blind           ,MUN ,D,-0.4 ,-0.4 ,0.0 ,0.0 ,0.0 ,0  ,5.0  ,0.0 ,-66   ,0.0,      
 ,L,Lewis Cook      ,BOU ,M,-0.4 ,-0.4 ,0.0 ,0.0 ,0.0 ,0  ,5.0  ,0.4 ,-67   ,0  ,      
 ,B,Bruno           ,BHA ,D,-0.22,-0.44,1.0 ,0.0 ,1.0 ,25 ,4.5  ,0.3 ,-69   ,0  ,      
 ,D,Drinkwater      ,CHE ,M,-0.4 ,-0.4 ,0.0 ,0.0 ,0.0 ,0  ,5.0  ,0.2 ,-70   ,-1 ,      
 ,C,Austin          ,SOU ,F,-0.33,-0.33,0.0 ,0.0 ,0.0 ,0  ,6.0  ,1.9 ,-70   ,0  ,      
 ,H,Gomes           ,WAT ,G,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,0.5 ,-71   ,0  ,      
 ,A,Gunnarsson      ,CAR ,M,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,1.5 ,-73   ,0  ,      
 ,I,Gueye           ,EVE ,M,-0.4 ,-0.4 ,0.0 ,0.0 ,0.0 ,0  ,5.0  ,0.6 ,-73   ,0  ,      
 ,J,Seri            ,FUL ,M,0.0  ,-0.36,2.0 ,0.0 ,2.0 ,81 ,5.5  ,2.1 ,-74   ,0  ,      
 ,R,Ghezzal         ,LEI ,M,-0.18,-0.36,1.0 ,0.0 ,1.0 ,27 ,5.5  ,0.2 ,-74   ,-1 ,      
 ,F,Andone          ,BHA ,F,-0.4 ,-0.4 ,0.0 ,0.0 ,0.0 ,0  ,5.0  ,0.1 ,-76   ,-2 ,      
 ,A,Yarmolenko      ,WHU ,M,-0.29,-0.29,0.0 ,0.0 ,0.0 ,0  ,7.0  ,1.1 ,-76   ,0  ,      
 ,D,Ward            ,LEI ,G,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,0.2 ,-78   ,-1 ,      
 ,A,Maitland-Niles  ,ARS ,M,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,0.7 ,-82   ,0  ,      
 ,J,Jach            ,CRY ,D,-0.5 ,-0.5 ,0.0 ,0.0 ,0.0 ,0  ,4.0  ,0.1 ,-83   ,-2 ,      
 ,S,Ki Sung-yueng   ,NEW ,M,-0.4 ,-0.4 ,0.0 ,0.0 ,0.0 ,0  ,5.0  ,0.3 ,-83   ,-1 ,      
 ,F,Llorente        ,TOT ,F,-0.33,-0.33,0.0 ,0.0 ,0.0 ,0  ,6.0  ,0.4 ,-83   ,0  ,      
 ,A,Chamberlain     ,LIV ,M,-0.31,-0.31,0.0 ,0.0 ,0.0 ,0  ,6.5  ,0.0 ,-85   ,0.0,      
 ,K,Walker-Peters   ,TOT ,D,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,0.5 ,-85   ,0  ,      
 ,O,Niasse          ,EVE ,F,-0.36,-0.36,0.0 ,0.0 ,0.0 ,0  ,5.5  ,1.0 ,-86   ,0  ,      
 ,D,Calvert-Lewin   ,EVE ,F,-0.36,-0.36,0.0 ,0.0 ,0.0 ,0  ,5.5  ,1.5 ,-88   ,0  ,      
 ,J,Ward-Prowse     ,SOU ,M,-0.36,-0.36,0.0 ,0.0 ,0.0 ,0  ,5.5  ,0.6 ,-91   ,0  ,      
 ,E,Lamela          ,TOT ,M,-0.31,-0.31,0.0 ,0.0 ,0.0 ,0  ,6.5  ,0.1 ,-95   ,-2 ,      
 ,V,Wanyama         ,TOT ,M,-0.4 ,-0.4 ,0.0 ,0.0 ,0.0 ,0  ,5.0  ,0.1 ,-95   ,-2 ,      
 ,M,Lanzini         ,WHU ,M,-0.31,-0.31,0.0 ,0.0 ,0.0 ,0  ,6.5  ,0.1 ,-96   ,-2 ,      
 ,R,Sobhi           ,HUD ,M,-0.4 ,-0.4 ,0.0 ,0.0 ,0.0 ,0  ,5.0  ,0.3 ,-97   ,-1 ,      
 ,A,Cresswell       ,WHU ,D,-0.36,-0.36,0.0 ,0.0 ,0.0 ,0  ,5.5  ,2.2 ,-98   ,0  ,      
 ,J,Tomkins         ,CRY ,D,0.89 ,-0.44,6.0 ,0.0 ,6.0 ,90 ,4.5  ,9.2 ,-100  ,0  ,      
 ,M,Holgate         ,EVE ,D,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,0.1 ,-100  ,-2 ,      
 ,F,Diabaté         ,LEI ,M,-0.4 ,-0.4 ,0.0 ,0.0 ,0.0 ,0  ,5.0  ,0.1 ,-100  ,-2 ,      
 ,E,Emerson         ,CHE ,D,-0.36,-0.36,0.0 ,0.0 ,0.0 ,0  ,5.5  ,0.2 ,-101  ,-1 ,      
 ,N,Chalobah        ,WAT ,M,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,0.3 ,-102  ,-1 ,      
 ,B,Mee             ,BUR ,D,-0.4 ,-0.4 ,0.0 ,0.0 ,0.0 ,0  ,5.0  ,4.9 ,-103  ,0  ,      
 ,S,Ward            ,BUR ,D,-0.4 ,-0.4 ,0.0 ,0.0 ,0.0 ,0  ,5.0  ,2.6 ,-103  ,0  ,      
 ,J,Stanislas       ,BOU ,M,-0.33,-0.33,0.0 ,0.0 ,0.0 ,0  ,6.0  ,0.1 ,-104  ,-2 ,      
