O,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn    ,gf ,031217
 ,L,Karius          ,LIV ,G,0.56 ,0.65 ,4.7,5.1 ,5.0 ,990 ,4.8  ,1.2 ,2362   ,3  ,      
 ,A,Adam Smith      ,BOU ,D,0.04 ,0.02 ,2.2,2.1 ,3.3 ,2011,4.8  ,0.6 ,2341   ,7  ,      
 ,W,Rooney          ,EVE ,F,0.29 ,0.4  ,4.1,4.9 ,1.0 ,1829,7.2  ,10.3,2289   ,0  ,      
 ,K,Naughton        ,SWA ,D,0.3  ,0.26 ,3.4,3.2 ,3.0 ,2506,4.6  ,5.7 ,2262   ,1  ,      
 ,D,Gayle           ,NEW ,F,0.13 ,0.34 ,2.8,4.1 ,6.3 ,1438,6.1  ,1.1 ,2194   ,3  ,      
x,N,Pope            ,BUR ,G,0.59 ,0.55 ,4.9,4.7 ,5.0 ,2394,4.9  ,9.8 ,2186   ,0  ,      
 ,S,Rondón          ,WBA ,F,0.07 ,0.08 ,2.4,2.5 ,3.0 ,2087,6.0  ,0.8 ,2073   ,4  ,      
 ,S,Coleman         ,EVE ,D,0.2  ,0.16 ,3.3,3.0 ,3.3 ,315 ,6.4  ,0.7 ,1929   ,5  ,      
 ,J,Tomkins         ,CRY ,D,0.18 ,0.25 ,2.8,3.1 ,3.3 ,1756,4.4  ,2.7 ,1875   ,1  ,      
 ,T,Deeney          ,WAT ,F,0.14 ,0.22 ,2.9,3.4 ,6.0 ,1303,6.3  ,1.1 ,1831   ,3  ,      
 ,M,Keane           ,EVE ,D,0.08 ,0.08 ,2.4,2.4 ,3.0 ,1839,5.3  ,5.0 ,1667   ,1  ,      
 ,D,Lovren          ,LIV ,D,0.26 ,0.4  ,3.4,4.1 ,2.3 ,1746,5.3  ,1.2 ,1659   ,2  ,      
x,A,Mawson          ,SWA ,D,0.27 ,0.25 ,3.4,3.3 ,2.3 ,2700,5.1  ,3.9 ,1651   ,1  ,      
 ,J,Vertonghen      ,TOT ,D,0.3  ,0.32 ,3.8,3.9 ,3.3 ,2579,6.0  ,8.5 ,1567   ,0  ,      
 ,D,Calvert-Lewin   ,EVE ,F,0.16 ,0.28 ,2.8,3.4 ,1.0 ,1700,5.0  ,4.5 ,1339   ,1  ,      
 ,S,Francis         ,BOU ,D,-0.09,-0.02,1.6,1.9 ,0.5 ,2242,4.3  ,1.6 ,1257   ,1  ,      
